,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
PURCHASES_INSTALLMENTS_FREQUENCY,0.3645530726256994,0.050448787549764756,0.4248810799228637,0.7502894736842094,0.04199345067539912,0.0,0.6305320899616036,0.7548115687992974,0.00778191489361702,0.7531661750245816,0.004871794871794873,0.6445153132902525,0.23131105398457585,0.010482954545454542,0.22759747102212838,0.23555708390646493,0.7549890590809627,5.5594162612925644e-05,0.6855172413793121,0.0,0.01090701654306902,0.7505398037077442,0.6039542665923028,0.21982954545454536,0.7768932038834957,0.1864794007490637,0.775407608695652,0.003981121599111606,0.6164051918735883,0.0,0.7122222222222215,0.20303597122302153,0.37445255474452555,0.6196916608269084
CASH_ADVANCE_FREQUENCY,0.13373966480447,0.320188201230548,0.03852581958431548,0.08716447368421047,0.31040933278755767,0.0948023255813954,0.04545803620405927,0.09626643295354949,0.21997872340425526,0.06749262536873153,0.07340909090909094,0.04097780275358242,0.5693573264781485,0.2301477272727271,0.026859852476290826,0.5804539202200818,0.0668927789934354,0.09029881862404447,0.04851312875672252,0.08975812024879062,0.22894466628636612,0.028282442748091576,0.07619074177356377,0.585383522727272,0.06503236245954688,0.031173533083645434,0.0681521739130434,0.2266129927817877,0.08235891647855526,0.0788369230769231,0.059964444444444404,0.5882014388489202,0.033722627737226285,0.006187806587245969
CASH_ADVANCE_TRX,3.0793296089385476,7.591748099891422,0.6989500749946432,2.1855263157894735,7.404830126893164,1.8930232558139535,0.9119583104772353,2.5319894829097285,4.221276595744681,1.5889872173058013,1.3508158508158508,0.7721270019668446,16.63496143958869,4.449431818181818,0.505795574288725,17.063273727647868,1.5940919037199124,1.708825573314802,0.9262891490034799,1.6924671734623358,4.413006274957216,0.514721919302072,1.5192414947016175,17.31534090909091,1.690938511326861,0.5892634207240949,1.9103260869565217,4.362021099389228,1.6551918735891649,1.4670769230769232,1.2044444444444444,17.427338129496402,0.5401459854014599,0.10021023125437982
PURCHASES_TRX,14.151385474860328,1.8269996380745566,10.342084851082067,48.25025657894743,1.2013917314776914,6.224133720930233,13.97792375205705,54.38289219982483,0.1202127659574468,56.37156342182903,5.897733100233101,14.65622646810902,8.762210796915166,0.16647727272727272,4.216016859852476,9.041265474552958,58.68367614879663,6.698061153578874,16.612625751344513,6.7874982722874915,0.16371933827723903,13.592971646673938,22.66677635248188,8.526988636363637,68.0167475728157,3.6679151061173534,77.93690217391324,0.06218767351471405,13.9856151241535,6.230467692307692,36.63386666666668,8.251798561151078,6.430656934306569,10.599859845830414
CREDIT_LIMIT,4474.254539664804,4492.588208469056,3675.1461131347755,6894.506578947368,4391.410835038887,4265.63090116279,3712.1575178277562,7401.358457493427,3608.333335106383,7462.881022615536,4154.3037004662,3722.2186878336606,6805.912596401028,3642.6231079545455,3746.8276501580613,6953.713892709766,7661.816192560175,4131.0645031271715,3819.9842454919326,4146.5803870076015,3627.9045464917285,3270.1090785169026,4824.563820412716,7000.78125,8205.258899676375,3792.1805992509367,9104.347826086956,3623.551732370905,3498.962251693002,4183.067784615384,6022.961617777778,6971.36690647482,3857.299270072993,3518.6638962859142
PAYMENTS,1649.4203690502848,1792.2653631559886,969.1940110563559,3478.3254309210565,1814.3001313958237,1202.8565652325574,1001.1053002742713,4041.2216170026304,1307.752737765958,4052.7723480825966,1115.0038685897428,1016.330935965157,3408.22524215938,1219.1693167045457,1165.5430998946263,3501.1159950481424,4286.327295404813,1093.149937456566,1099.1511127491294,1104.9193434692459,1208.776330519111,888.8601839694661,1521.6598570552126,3533.894216477271,5137.242007443363,1277.5609431960054,6426.281604891297,1259.067513714603,1112.9249625846485,1117.5202014769218,2232.090818755556,3551.451335827337,2185.0965583941615,744.9668122634903
MINIMUM_PAYMENTS,736.4005004469295,988.985068440104,509.61420580672745,973.5850239473684,947.5488705689725,573.1249889534886,583.8637732857919,1017.8617789658193,802.4328396808522,970.2730349065876,519.9253735431236,574.0279649901653,1491.3696600257083,866.4240219318194,97.76326659641725,1520.8644504814304,994.7861656455134,613.8338992355806,656.4033117684278,612.2844029025574,869.9426638334294,620.3000052889859,661.1012095928616,1530.7058742897725,1143.6629195792864,90.40469413233453,1415.6897067934783,810.3571224319834,984.371589954852,551.5431698461541,616.3932315555551,1512.0462381294963,15.669124087591236,156.5046881569728
PRC_FULL_PAYMENT,0.15353407821229043,0.033007600434310544,0.191281337047354,0.256723684210526,0.04117069177241099,0.09623837209302333,0.21617388919363678,0.2803242769500436,0.04220744680851065,0.2966076696165191,0.0939335664335665,0.22488901376791234,0.040565552699228756,0.022079545454545445,0.2595890410958906,0.041499312242090754,0.3087527352297593,0.08605281445448226,0.20649161657703238,0.09004837595024189,0.022093553907586987,0.31898582333696823,0.11737311767986644,0.04187499999999997,0.3371521035598706,0.2144694132334583,0.33997282608695645,0.031643531371460275,0.019531602708803567,0.09921846153846162,0.2334666666666669,0.04293525179856112,0.058832116788321155,0.4874842326559206
TENURE,11.51731843575419,11.321389793702497,11.529676451682024,11.835526315789474,11.308227589029881,11.484302325581396,11.569665386725179,11.847502191060473,11.37659574468085,11.859390363815143,11.520979020979022,11.576285473447598,11.132390745501285,11.434659090909092,11.412012644889357,11.132049518569463,11.854485776805252,11.507296733842946,11.590635874723189,11.51347615756738,11.436394751853964,11.452562704471102,11.760178471834914,11.098011363636363,11.880258899676376,11.394506866416979,11.89945652173913,11.390338700721822,11.677765237020315,11.507692307692308,11.812444444444445,11.096402877697841,11.416058394160585,11.37281009110021
MONTHLY_AVG_PURCHASE,80.55621687150827,11.715808903365902,52.398628669380734,292.1466848684209,6.869529267294307,57.36677906976739,60.263831596270016,338.1271612620506,0.39759574468085096,357.1136667649948,53.63682400932397,63.45477662264687,50.34668624678664,0.626528409090909,26.00963119072705,51.49555969738651,377.0840362144417,59.14884642112583,72.12434039860804,60.05778161713893,0.5644894466628635,53.68133587786267,112.26538204127169,49.33926406250002,451.25880113268556,24.6302122347066,553.5364105978252,0.21173792337590228,54.76152934537245,57.06621538461536,196.6352888888889,49.76269338129498,39.356423357664255,46.20446391030139
MONTHLY_AVG_CASH_ADVANCE,84.92110793296091,212.63445834238203,19.027923719734343,55.08657078947371,208.33155472779373,53.00399430232559,24.07708540866707,63.22349184925511,129.43875553191458,41.033533529990166,38.38252529137525,20.605872436077558,431.5774275064268,132.84881079545423,22.965440885142264,443.74554140302587,42.15365820568926,47.02956455872127,23.92559633027527,46.49839903248094,131.0690855675981,17.324874591057792,34.0938706079197,453.43403210227274,46.27932621359225,27.80813158551811,51.239439130434796,132.51098667406964,41.649650112866816,41.078875938461486,29.475999999999992,456.7384871942446,34.768710948905124,4.640574632095305
LIMIT_USAGE,0.38600000000000867,0.5945313065508513,0.2794128990786317,0.33420394736842074,0.5792304543593952,0.36519767441860346,0.28408392759187645,0.32929886064855374,0.567813829787234,0.3131268436578171,0.33968531468531377,0.2824838437763368,0.6176092544987158,0.6160284090909097,0.01887249736564802,0.6107427785419541,0.3096608315098472,0.4121959694232099,0.32660234103131425,0.4102073255010359,0.6166457501426134,0.2534841875681548,0.3752035694366968,0.61174715909091,0.31870550161812294,0.018589263420724016,0.34614130434782614,0.5791726818434202,0.5180812641083498,0.3628184615384606,0.2780088888888889,0.6109928057553964,0.006204379562043797,0.026881569726699535
PAYMENT_MINPAYMENT,6.665068044692749,3.7689733260948235,7.342267966573832,9.850211250000013,5.137046336471551,6.418813837209305,6.385500246845867,11.201280543383014,5.462422446808516,11.817110226155368,7.0167461538461575,6.232213346445639,4.040899742930586,2.669977272727272,24.176509905163403,4.128294360385139,12.48567954048141,3.7258790826963164,3.870601075608984,3.7840359364201803,2.641825442099258,3.778173391494003,4.778600111544899,4.041988636363632,14.557493689320394,27.723405617977594,16.076874999999994,3.3308328706274337,2.41255643340858,4.626461538461538,7.736711111111112,4.18815827338129,116.38685401459863,5.875697266993697
PURCHASE_TYPE_NONE,0.22815642458100557,0.7260224393774882,0.00771373473323334,0.0,0.8358575521899304,0.0,0.0,0.0,0.9521276595744681,0.0,0.0,0.0,0.32390745501285345,0.9386363636363636,0.1601685985247629,0.32737276478679506,0.0,0.0,0.0,0.0,0.9383913291500285,0.0,0.0,0.3494318181818182,0.0,0.18851435705368288,0.0,0.9700166574125486,0.0,0.0,0.0,0.3539568345323741,0.24817518248175183,0.01051156271899089
PURCHASE_TYPE_ONEOFF_INSTALLMENT,0.3099441340782123,0.06731813246471227,0.2530533533319049,0.9256578947368421,0.05853458862054851,0.0,0.42484914975315413,0.9482909728308502,0.0010638297872340426,0.9400196656833825,0.0,0.44169710592863165,0.31362467866323906,0.002840909090909091,0.08956796628029505,0.31911966987620355,0.936542669584245,0.0,0.5049035115469788,0.0,0.0017113519680547634,0.07197382769901854,0.9994422755158952,0.2869318181818182,0.9174757281553398,0.09737827715355805,0.8885869565217391,0.0,0.5095936794582393,0.0,0.9866666666666667,0.2762589928057554,0.10218978102189781,0.15977575332866154
PURCHASE_TYPE_ONE_OFF,0.2093854748603352,0.14947520810712994,0.2982644096850225,0.045394736842105265,0.044207941056078594,1.0,0.0,0.040315512708150744,0.0,0.048180924287118974,0.9557109557109557,0.0,0.2377892030848329,0.0,0.23603793466807166,0.22833562585969738,0.05032822757111598,0.9993050729673384,0.0,1.0,0.0,0.0,0.0,0.23579545454545456,0.06796116504854369,0.27340823970037453,0.08967391304347826,0.0,0.0,1.0,0.008,0.25611510791366904,0.20437956204379562,0.000700770847932726
cluster_3,0.8611173184357542,0.0,1.0,2.0,0.01882930822758903,0.836046511627907,1.0814591332967636,1.9982471516213847,0.03829787234042553,2.0,0.8776223776223776,1.1098623208766507,0.18637532133676094,0.026704545454545453,0.8724973656480506,0.19257221458046767,2.0,0.8443363446838082,1.1543815248339133,0.848652384243262,0.027381631488876214,1.0239912758996728,1.4071388733965422,0.16193181818181818,2.0,0.8489388264669163,2.0,0.007773459189339256,0.9932279909706546,0.8707692307692307,1.8746666666666667,0.1510791366906475,0.927007299270073,1.0098107918710582
cluster_4,1.3893854748603351,0.15490408975750997,1.682022712663381,2.7348684210526315,0.0,1.0,2.0,3.0,0.027659574468085105,2.992133726647001,1.0442890442890442,2.014048890137679,0.4884318766066838,0.042045454545454546,1.4373024236037935,0.47042640990371387,2.99781181619256,1.0006949270326615,2.048402404302436,1.0041465100207325,0.042213348545350825,2.0021810250817884,2.241494701617401,0.40625,3.0,1.344569288389513,3.0,0.001110494169905608,1.950902934537246,1.0036923076923077,2.6373333333333333,0.39280575539568346,1.313868613138686,1.97687456201822
cluster_5,2.0377653631284915,1.2066594281577996,2.642382686950932,1.6921052631578948,0.9598853868194842,2.0860465116279068,2.9764125068568292,1.273444347063979,0.0,1.0,2.0,3.0,4.0,0.06875,2.198103266596417,3.9917469050894083,1.0,2.0250173731758165,2.9424232837709585,2.020041465100207,0.05932686822589846,2.995092693565976,2.5950920245398774,3.965909090909091,1.0,2.066167290886392,1.0,0.01776790671848973,2.9672686230248306,2.0043076923076923,1.8764444444444444,3.9913669064748203,1.9416058394160585,2.923615977575333
cluster_6,2.9839106145251395,0.925805284111473,3.9852153417613025,3.650657894736842,0.5370446172738437,3.542441860465116,4.276741634668129,3.249780893952673,0.08191489361702127,3.1937069813176007,3.474941724941725,4.4239955043551555,2.051413881748072,0.0,1.0,2.0,3.0,4.0,5.0,3.9827228749136143,0.008556759840273816,4.688113413304253,4.613496932515337,1.9886363636363635,3.0,1.00374531835206,3.0,0.05830094392004442,4.760158013544018,3.6375384615384614,4.005333333333334,2.014388489208633,1.0291970802919708,3.5767344078486336
cluster_7,2.4035754189944134,1.862468331523706,2.2804799657167347,3.7651315789473685,2.0106426524764633,0.8965116279069767,2.842841470104224,4.113058720420684,1.4111702127659576,4.192723697148476,1.025058275058275,2.778589491430177,3.7879177377892033,1.0204545454545455,5.349841938883035,3.9491059147180194,4.335886214442013,0.008339124391938846,2.4653590635874725,0.0,1.0,2.0,3.0,4.0,5.0,6.0,5.0,1.2909494725152693,2.5062076749435667,0.7009230769230769,3.4186666666666667,3.9266187050359713,5.985401459854015,3.063770147161878
cluster_8,3.2408938547486033,2.1639522258414767,3.9565031069209344,3.001315789473684,2.024559967253377,3.1313953488372093,4.261930883159627,2.747589833479404,1.1585106382978723,2.551622418879056,3.219114219114219,4.227592020230402,4.708226221079691,1.05,5.337197049525817,4.8198074277854195,2.3916849015317285,3.015983321751216,3.816197405884214,3.015894955079475,1.038220193953223,4.7715376226826605,3.100948131622978,4.890625,1.6262135922330097,5.072409488139825,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0
